file_path,line_number,code_snippet,category,severity,suggested_token_name,suggested_replacement_snippet,justification
BabciaTobiasz/App/BabciaTobiaszAppView.swift,84,.foregroundStyle(.red),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,358,warmAccent: .orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,367,"Color(red: 0.4, green: 0.7, blue: 0.9), Color(red: 0.5, green: 0.8, blue: 0.95), Color(red: 0.6, green: 0.85, blue: 1.0),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,368,"Color(red: 0.5, green: 0.75, blue: 0.9), Color(red: 0.55, green: 0.8, blue: 0.92), Color(red: 0.6, green: 0.82, blue: 0.95),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,369,"Color(red: 0.5, green: 0.7, blue: 0.85), Color(red: 0.55, green: 0.75, blue: 0.88), Color(red: 0.6, green: 0.78, blue: 0.9)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,372,".green, .teal, .cyan,",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,373,".mint, .green, .teal,",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,374,".teal, .mint, .green",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,380,".green, .teal",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/Features/Areas/AreaFormView.swift,36,".teal, .green, .mint, .cyan, .blue, .indigo,",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaFormView.swift,37,".purple, .pink, .orange, .yellow, .brown, .gray",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaListView.swift,289,color: .orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaListView.swift,298,color: .green,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaListView.swift,312,.foregroundStyle(viewModel.isKitchenClosed ? .red : .secondary),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaRowView.swift,222,return .orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaRowView.swift,226,return .green,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Home/Components/DailyProgressCard.swift,65,.foregroundStyle(.yellow),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Home/Components/StreakCard.swift,20,.foregroundStyle(.orange),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Home/HomeView.swift,261,.foregroundStyle(.yellow),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,27,var iconColor: Color = .orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,113,"iconColor: .red,",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,127,"iconColor: .orange,",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,168,.foregroundStyle(.orange),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,209,.foregroundStyle(.orange),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,230,".stroke(.orange.opacity(0.3), lineWidth: 1)",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/GlassCardView.swift,167,.foregroundStyle(.yellow),Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/OnboardingView.swift,28,accentColor: .green,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/OnboardingView.swift,40,accentColor: .orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/SkeletonLoadingView.swift,252,"LinearGradient(colors: [.green.opacity(0.3), .teal.opacity(0.3)], startPoint: .top, endPoint: .bottom)",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/SkeletonLoadingView.swift,252,"LinearGradient(colors: [.green.opacity(0.3), .teal.opacity(0.3)], startPoint: .top, endPoint: .bottom)",Gradient,Critical,backgrounds.gradient.hero,theme.backgrounds.gradient.hero,Gradient color literals tie visuals to specific hues rather than themed background tokens.
BabciaTobiasz/Shared/Components/SparkleIconView.swift,50,"SparkleIconView(systemName: ""checkmark.seal.fill"", size: 56, color: .orange)",Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,23,static let appSuccess = Color.green,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,26,static let appWarning = Color.orange,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,29,static let appError = Color.red,Color,Critical,palette.status,theme.palette.status,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,34,"static let weatherSunny = Color(red: 0.4, green: 0.7, blue: 1.0)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,37,"static let weatherCloudy = Color(red: 0.6, green: 0.65, blue: 0.7)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,40,"static let weatherRainy = Color(red: 0.4, green: 0.5, blue: 0.6)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,43,"static let weatherNight = Color(red: 0.15, green: 0.2, blue: 0.35)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,49,"Color(red: 1.0, green: 0.8, blue: 0.4),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,50,"Color(red: 1.0, green: 0.6, blue: 0.5),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,51,"Color(red: 0.7, green: 0.5, blue: 0.8)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,56,"Color(red: 0.4, green: 0.7, blue: 1.0),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,57,"Color(red: 0.5, green: 0.8, blue: 1.0),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,58,"Color(red: 0.6, green: 0.9, blue: 1.0)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,63,"Color(red: 1.0, green: 0.5, blue: 0.3),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,64,"Color(red: 0.9, green: 0.4, blue: 0.5),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,65,"Color(red: 0.5, green: 0.3, blue: 0.6)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,70,"Color(red: 0.1, green: 0.15, blue: 0.3),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,71,"Color(red: 0.15, green: 0.2, blue: 0.35),",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,72,"Color(red: 0.2, green: 0.25, blue: 0.4)",Color,Critical,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Core/Scoring/ScoringService.swift,26,"case (.blue, true):",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Core/Scoring/ScoringService.swift,28,"case (.blue, false):",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,351,"secondary: .purple,",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,352,"tertiary: .cyan,",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,356,"glassTint: .white,",Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,357,"coolAccent: .teal,",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,362,".blue, .cyan, .teal,",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,363,".purple, .blue, .cyan,",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,364,".indigo, .purple, .blue",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,377,".blue.opacity(0.3), .purple.opacity(0.2), .cyan.opacity(0.3)",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency. Exception: design system token definitions may intentionally use literals.
BabciaTobiasz/Features/Areas/AreaDetailView.swift,31,@State private var verificationTier: BowlVerificationTier = .blue,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaDetailView.swift,812,verificationTier = viewModel.isGoldenEligible() ? .golden : .blue,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaDetailView.swift,872,": String(localized: ""areaDetail.verify.celebration.title.blue"")",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaDetailView.swift,881,": String(localized: ""areaDetail.verify.celebration.message.blue"")",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaFormView.swift,21,@State private var selectedColor: Color = .teal,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaFormView.swift,309,".stroke(Color.white.opacity(selectedColor == color ? 0.8 : 0), lineWidth: 1)",Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaFormView.swift,316,.foregroundStyle(.white),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaModels.swift,237,Color(hex: colorHex) ?? .teal,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaModels.swift,237,Color(hex: colorHex) ?? .teal,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaRowView.swift,224,return .blue,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaRowView.swift,228,return .purple,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaViewModel.swift,967,case .blue:,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/AreaViewModel.swift,968,return .blue,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/Components/CompletionSummaryView.swift,19,"tier == .blue ? ""Bowl_Clay_Blue"" : ""Bowl_Clay_Natural""",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/Components/PierogiDropView.swift,223,tier == .blue ? PierogiAsset.bowlBlue : PierogiAsset.bowlNatural,Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/Components/PierogiDropView.swift,341,": String(localized: ""pierogiDrop.tier.blue"")",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/Components/PierogiDropView.swift,359,"PierogiDropView(tier: .blue, autoReveal: false, onComplete: { _ in })",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Areas/Components/ScanProcessingOverlayView.swift,20,Color.black.opacity(0.18),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Babcia/BabciaStatusView.swift,19,".shadow(color: .black.opacity(0.12), radius: 20, x: 0, y: 10)",Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Babcia/BabciaStatusView.swift,19,".shadow(color: .black.opacity(0.12), radius: 20, x: 0, y: 10)",Shadow,High,elevation.level.2,.shadow(theme.elevation.level.2),Shadow literals couple elevation to specific values and are hard to tune globally.
BabciaTobiasz/Features/Gallery/Components/GalleryImageView.swift,38,.strokeBorder(.white.opacity(0.08)),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Gallery/GalleryDetailView.swift,34,"case .blue: return String(localized: ""gallery.detail.verification.blue"")",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Features/Home/Components/LatestDreamCard.swift,64,Color.black.opacity(0.08),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,93,".buttonStyle(.glass(color: .blue, prominent: true))",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,186,".buttonStyle(.glass(color: .blue, prominent: true))",Color,High,palette.primary,theme.palette.primary,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/ErrorView.swift,261,Color.black.opacity(0.4),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/FeatureTooltip.swift,45,".shadow(color: .black.opacity(0.15), radius: 20, x: 0, y: 10)",Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/FeatureTooltip.swift,45,".shadow(color: .black.opacity(0.15), radius: 20, x: 0, y: 10)",Shadow,High,elevation.level.2,.shadow(theme.elevation.level.2),Shadow literals couple elevation to specific values and are hard to tune globally.
BabciaTobiasz/Shared/Components/GlassCardView.swift,146,.foregroundStyle(isProminent ? .white : .primary),Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
BabciaTobiasz/Shared/Components/LoadingIndicatorView.swift,91,".shadow(color: .black.opacity(0.1), radius: 10, x: 0, y: 4)",Color,High,palette.neutral,theme.palette.neutral,Literal colors bypass palette control and break theming consistency.
